" Liczba punktów, jaką uzyskali uczniowie przyjęci do szkół ponadgimnazjalnych w roku szkolnym 2018/2019 ",,,,,,
Dane z 12.07.2018 r. (listy przyjętych w rekrutacji zasadniczej),,,,,,
,,,,,,
Dzielnica szkoły,typ szkoły,Nazwa szkoły,Grupa rekrutacyjna/oddział,Minimum,Średnia,Maksimum
Bielany,T,Technikum Ekonomiczne nr 5,1E [O] Technik ekonomista (ang-niem*),"67,8","93,13","168,4"
Bielany,T,Technikum Ekonomiczne nr 5,1H [O] Technik handlowiec (ang-niem*),"32,6","79,57",125
Bielany,T,Technikum Ekonomiczne nr 5,1L [O] Technik logistyk (ang-niem*),"81,6","104,36","152,4"
Bielany,T,Technikum Ekonomiczne nr 5,1T [O] Technik hotelarstwa (ang-niem*),"47,6","80,25","
laureat/ci"
Bielany,T,Technikum Księgarskie im. Stefana Żeromskiego,"1tg [O] Technik grafiki i poligrafii cyfrowej (ang*-hisz*,niem*,ros*)","106,6","124,14","169,8"
Bielany,T,Technikum Księgarskie im. Stefana Żeromskiego,"1tk [O] Technik księgarstwa (ang*-hisz*,niem*,ros*)","49,2","97,68",152
Bielany,T,Technikum Księgarskie im. Stefana Żeromskiego,"1tr [O] Technik organizacji reklamy (ang*-hisz*,niem*,ros*)","80,4","97,36","133,2"
Bielany,T,Technikum nr 25 im. Stanisława Staszica,1Ai [O] Technik informatyk (ang-niem),"119,8","128,45","146,2"
Bielany,T,Technikum nr 25 im. Stanisława Staszica,1E [O] Technik ekonomista (ang-niem),46,"85,56",145
Bielany,T,Technikum nr 25 im. Stanisława Staszica,1S [O] Technik spedytor (ang-niem),"54,6","85,38",119
Bielany,T,Technikum nr 25 im. Stanisława Staszica,1Ta [O] Technik obsługi turystycznej (ang-hisz),"70,8","90,53","120,4"
Bielany,LO,XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka,"1A [O] mat-fiz-ang (ang-fra,niem,hisz,ros,wlo)","156,4","159,85","167,2"
Bielany,LO,XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka,"1B [O] pol-hist-ang (ang-fra,hisz,niem,ros,wlo)",135,"144,22","162,2"
Bielany,LO,XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka,"1C [O] biol-chem-ang (ang-fra,hisz,niem,ros,wlo)","145,8","153,99",170
Bielany,LO,XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka,"1D [O] mat-geogr-ang (ang-fra,hisz,niem,ros,wlo)",154,"157,74","166,4"
Bielany,LO,XCIV Liceum Ogólnokształcące im. gen. Stanisława Maczka,"1E [O] pol-wos-ang (wlo-fra,hisz,niem,ros)","142,4","148,92",160
Bielany,LO,XLI Liceum Ogólnokształcące im. Joachima Lelewela,"1a [O] mat-fiz-ang (ang-hisz*,niem*)","169,4","174,97","190,8"
Bielany,LO,XLI Liceum Ogólnokształcące im. Joachima Lelewela,"1b [O] mat-geogr-ang (ang-fra,niem*)","166,8","171,35","191,6"
Bielany,LO,XLI Liceum Ogólnokształcące im. Joachima Lelewela,"1c [O] biol-chem-mat (ang-hisz*,niem*)",168,"171,99",182
Bielany,LO,XLI Liceum Ogólnokształcące im. Joachima Lelewela,"1d [O] mat-biol-ang (ang-hisz*,niem*)","165,4","169,31",183
Bielany,LO,XLI Liceum Ogólnokształcące im. Joachima Lelewela,1ef [O] ang-pol-hist (ang-fra),"156,8","160,69","170,2"
Bielany,LO,XLI Liceum Ogólnokształcące im. Joachima Lelewela,1eh [O] pol-hist-ang (ang-hisz),"158,4","164,77",172
Bielany,LO,XLI Liceum Ogólnokształcące im. Joachima Lelewela,1ff [D] pol-ang-hist (ang-fra),"144,63*","163,28*","180,61*"
Bielany,LO,XLI Liceum Ogólnokształcące im. Joachima Lelewela,1fh [D] pol-hist-ang (ang-hisz),"167,89*","177,59*","200,65*"
Bielany,LO,XLI Liceum Ogólnokształcące im. Joachima Lelewela,"1p [O] hist-wos-ang (ang-hisz*,niem*)","163,4","168,23",183
Bielany,LO,"XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. José Martí
","1a [O] ang-mat-fiz (ang-hisz*,niem)","158,8","162,98","174,2"
Bielany,LO,"XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. José Martí
","1b [O] mat-geogr-wos (ang-hisz*,niem)","157,6","161,34","167,2"
Bielany,LO,"XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. José Martí
","1c [O] ang-biol-chem (ang-hisz*,niem)","154,4","159,89","170,4"
Bielany,LO,"XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. José Martí
","1d [O] mat-biol-chem (ang-hisz*,niem)","159,6","164,34","174,2"
Bielany,LO,"XXII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. José Martí
",1h [D] hiszp-pol-geogr (hisz-ang),"144,07*","168,70*","204,24*"
Bielany,LO,XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego,"1A [O] pol-ang-hist (ang*-niem,ros,hisz)",50,"85,46","124,4"
Bielany,LO,XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego,"1B [O] pol-ang-hist (ang*-niem,ros,hisz)","49,4","81,98","150,6"
Bielany,LO,XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego,"1C [S] biol-geogr-ang (ang*-niem,ros,hisz)",50**,"93,04**",100**
Bielany,LO,XXXIX Liceum Ogólnokształcące im. Lotnictwa Polskiego,"1D [O] biol-chem-ang (ang*-niem,ros,hisz)","50,4","94,04","145,4"
Mokotów,Br. I st.,Branżowa Szkoła I stopnia nr 31,1A [O] Fryzjer (ang*),"37,4","72,82","115,4"
Mokotów,Br. I st.,Branżowa Szkoła I stopnia nr 31,"1A,B,C,Dw [O] wielozawodowa (ang*,ros*)","33,8","60,35","106,2"
Mokotów,Br. I st.,Branżowa Szkoła I stopnia nr 4,1 BSa [O] Fryzjer (ang*),44,"67,33",105
