dzielnica,Nazwa szkoły,ulica,nr,,kod,miasto,numer ewidencyjny,Uwagi
Praga Południe,"Niepubliczna Szkoła Podstawowa ""International Trilingual School""
(II miejsce ul. Królowej Aldony 23/25, III. Jana Styki 17/19)",A. Nobla,16,,03-930,Warszawa,87 SPN,
Praga Południe,"""Wonderful Years School"" Prywatna Podstawowa",Egipska,7,,03-979,Warszawa,102 SPN,
Praga Południe,"Niepubliczne Szkoła Podstawowa 'Trampoline""",Obrońców,25,,03-933,Warszawa,128 SPN,
Praga Północ,"Społeczna Szkoła Podstawowa im. S. Lema 
Społecznego Towarzystwa Oświatowego",Białostocka,4,,03-741,Warszawa,137 SPN,
Praga Północ,Szkoła Podstawowa MGM,Jagiellońska,88,,00-992,Warszawa,139 SPN,
Praga Północ,Akademicka Szkoła Podstawowa Wyższej Szkoły Menedżerskiej w Warszawie,Kawęczyńska,36,,03-772,Warszawa,142 SPN,
Praga Północ,Korczak.Szkoła Podstawowa Montessori,Kowelska,1,,03-442,Warszawa,149 SPN,
Śródmieście,Warszawska Akademicka Szkoła Podstawowa,Polna,5,,00-625,Warszawa,165 SPN,
Śródmieście,Społeczna Szkoła Podstawowa Nr 16 SpołecznegoTowarzystwa Oświatowego,al. Solidarności ,113c,,00-140,Warszawa,18 SPN,
Rembertów,Prywatna Szkoła Podstawowa im. Zofii i Jędrzeja Moraczewskich,Cyrulików,87,,04-402,Warszawa,160 SPN,
Śródmieście,Prywatna Żeńska Szkoła Podstawowa z oddziałami Dwujęzycznymi  im. Cecylii Plater- Zyberkówny,Piękna ,24/ 26,,00-549,Warszawa,29 SPN,
Śródmieście,Niepubliczna Szkoła Podstawowa Warsaw Montessori School,Szwoleżerów,4,,00-467,Warszawa,70 SPN,
Śródmieście,Bednarska Szkoła Podstawowa,Kawalerii,5,,00-468,Warszawa,106 SPN,
Śródmieście,Prywatna Męska Szkoła Podstawowa z oddziałami dwujęzycznymi im. Cecylii Plater-Zyberkówny,Piękna ,24/ 26,,00-549,Warszawa,115 SPN,
Śródmieście,"Społeczne Szkoła Podstawowa Fundacji ""AlterEdu""",Karmelicka,26,,00-181,Warszawa,138 SPN,
Śródmieście,Prywatna Szkoła Podstawowa Nr 41 Edu Bene,Świętojerska ,24,,00-202,Warszawa,152 SPN,
Śródmieście,Szkoła Podstawowa Ronja,al.. Wyzwolenia,7,,00-572,Warszawa,159 SPN,
Śródmieście,NESTOR  Szkoła Podstawowa dla Dorosłych w Warszawie,Emiliana Konopczyńskiego,4,,00-335,Warszawa,162 SPN,
Śródmieście,ToEdu  Szkoła Podstawowa dla Dorosłych w Warszawie,Emiliana Konopczyńskiego,4,,00-335,Warszawa,169 SPN,
Śródmieście,PIONIER  Szkoła Podstawowa dla Dorosłych w Warszawie,Emiliana Konopczyńskiego,4,,00-335,Warszawa,168 SPN,
Targówek,Niepubliczna Integracyjna Szkoła podstawowa im. Achillesa Ratti,Księcia Ziemowita,39,,03-788,Warszawa,131 SPN,
Targówek,Społeczna Szkoła Podstawowa Nr 11 Społecznego Towarzystwa Oświatowego,Toruńska ,23,,03-226,Warszawa,20 SPN,
Targówek,Prywatna Szkoła Podstawowa Nr 62 im. Joanny Kolasińskiej,Skrajna ,10,,03-209,Warszawa,34 SPN,
Targówek,Niepubliczna Szkoła Podstawowa nr 38 z Oddziałami Integracyjnymi im. Ireny Sendlerowej,Skrajna ,10,,03-209,Warszawa,147 SPN,
Targówek,Prywatna Szkoła Podstawowa Nr 108 im. Matki Boskiej Nieustającej Pomocy,Krynoliny ,9/11,,03-699,Warszawa,42 SPN,
Targówek,Szkoła Podstawowa Wspierania Rozwoju,Toruńska ,23,,03-226,Warszawa,67 SPN,
Targówek,Niepubliczna Szkoła Podstawowa Wyspa JP2,Radzymińska,118a,,03-374,Warszawa,134 SPN,
Ursus,Społeczna Szkoła Podstawowa im. Władysława Grabskiego Nr 4 Stołecznego Towarzystwa Oświatowego (II miejsce: ul. Dzieci Warszawy 42a),Traktorzystów ,16,,02-495,Warszawa,49 SPN,
Ursus,Niepubliczna Podstawowa Szkoła Montessori w Warszawie  (II miejsce: ul. Tomcia Palucha 25),Henryka II Pobożnego ,1,,02-496,Warszawa,73 SPN,
Ursynów,Prywatna Szkoła Podstawowa Active School,F. M. Lanciego,19,127,02-792,Warszawa,145 SPN,
Ursynów,Szkoła Podstawowa Nr 9 Społecznego Towarzystwa Oświatowego (II m.prowadz. Al.. KEN 105 lok. U4,Wiolinowa,6,,02-785,Warszawa,4 SPN,
Ursynów,Nowatorska Szkoła Podstawowa (II miejsce prowadz. ul. Puławska 435A),Bogatki,23,,02-837,Warszawa,119 SPN,
Ursynów,"Społeczna Szkoła Podstawowa Nr 1 Społecznego Towarzystwa Oświatowego im. Jana Nowaka-Jeziorańskiego 
",Nowoursynowska,139 U,,02-776,Warszawa,5 SPN,
Ursynów,Prywatna Szkoła Podstawowa Nr 6 Sióstr Niepokalanek im. bł. M. Marceliny Darowskiej ,J. Zaruby,2,,02-796,Warszawa,6 SPN,
Ursynów,International American School Amerykańska Szkoła Podstawowa Niepubliczna Nr 44,S. Dembego ,18,,02-796,Warszawa,7 SPN,
Ursynów,"Niepubliczna Szkoła Podstawowa Nr 47 im. Roberta Schumana Fundacji ""PRIMUS""",płk.Z.  Baló,1,,02-793,Warszawa,25 SPN,
Ursynów,Prywatna Szkoła Podstawowa Nr 83,W. Lachmana,2,,02-786,Warszawa,30 SPN,
Ursynów,"Chrześcijańska  Szkoła Podstawowa ""Daniel""",Nowoursynowska,154 A, ,02-797,Warszawa,111 SPN,
Ursynów,Szkoła Podstawowa Nr 112 Przymierza Rodzin im. Jana Pawła II,M. Grzegorzewskiej ,10,,02-778,Warszawa,44 SPN,
Ursynów,Niepubliczna Szkoła Podstawowa AURUS,Poleczki,7,,02-822,Warszawa,150 SPN,
Ursynów,Katolicka Szkoła Podstawowa Fundacji Na Rzecz Rodziny,Przy Bażantarni ,3,,02-793,Warszawa,52 SPN,
