Symbol oddziału,Nazwa krótka oddziału,Przedmioty rozszerzone,Zawód,Nazwa szkoły,Ulica szkoły,Nr budynku szkoły,Kod pocztowy szkoły,Dzielnica,Miejscowość szkoły,Gmina szkoły,Powiat szkoły,Typ szkoły (LO/LP/TECH/BR1St/LU/TU/PS),Uprawnienia publiczne,Nazwa Punktu Naboru,Miejscowość Punktu Naboru,Nazwa organu prowadzącego,Miejscowość organu prowadzącego,Liczba miejsc w oddziale,Liczebność podstawowa oddziału,Krotność oddziału (l. miejsc/liczebność podst.),Cykl kształcenia,Maksimum punktowe,Ze sprawdzianem uzdolnień (tak/nie),Typ szczególny
1A_(pol+hist+ang),"[O] hist-ang-pol (ang-fra*,hisz*,niem*)","historia, język angielski, język polski",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1B_(mat+fiz+ang),"[O] fiz-ang-mat (ang-fra*,hisz*,niem*)","fizyka, język angielski, matematyka",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,15,30,0.5,4,200.00000,nie,ogólnodostępny
1B_(mat+info+ang),"[O] inf-ang-mat (ang-fra*,hisz*,niem*)","informatyka, język angielski, matematyka",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,15,30,0.5,4,200.00000,nie,ogólnodostępny
1C_(hist+wos+ang),"[O] hist-ang-wos (ang-fra*,hisz*,niem*)","historia, język angielski, wiedza o społeczeństwie",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1D_(pol+hist.sz+ang,"[I-o] h.szt.-ang-pol (ang-fra*,hisz*,niem*)","historia sztuki, język angielski, język polski",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,15,20,0.75,4,200.00000,nie,integracyjny cz. ogólnodostępna
1Di_(pol+his.sz+ang,"[I-i] h.szt.-ang-pol (ang-fra*,hisz*,niem*)","historia sztuki, język angielski, język polski",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,5,20,0.25,4,null,nie,integracyjny cz. dla kandydatów z orzeczeniem o potrzebie kształcenia specjalnego
1E_(mat+geo+ang),"[O] geogr-ang-mat (ang-fra*,hisz*,niem*)","geografia, język angielski, matematyka",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1F_(biol+chem+ang),"[O] biol-chem-ang (ang-fra*,hisz*,niem*)","biologia, chemia, język angielski",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1G_(geo+wos+ang),"[O] geogr-ang-wos (ang-fra*,hisz*,niem*)","geografia, język angielski, wiedza o społeczeństwie",,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego,ul. Alojzego Felińskiego,15,01-513,Żoliborz,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,I Liceum Ogólnokształcące z Odd. Integracyjnymi im. Bolesława Limanowskiego,Warszawa,Żoliborz,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1A,[O] pol-hist-hiszp (hisz*-ang),"język polski, historia, język hiszpański",,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,ul. Rogalińska,2,01-206,Wola,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,Warszawa,Wola,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1B,[O] hist-ang-pol (ang-fra*),"historia, język angielski, język polski",,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,ul. Rogalińska,2,01-206,Wola,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,Warszawa,Wola,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1C,[O] geogr-mat-ang (ang-hisz*),"geografia, matematyka, język angielski",,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,ul. Rogalińska,2,01-206,Wola,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,Warszawa,Wola,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1D,[O] mat-inf-fiz (ang-ros*),"matematyka, informatyka, fizyka",,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,ul. Rogalińska,2,01-206,Wola,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,Warszawa,Wola,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1E,[O] mat-fiz-inf (ang-niem*),"matematyka, fizyka, informatyka",,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,ul. Rogalińska,2,01-206,Wola,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,Warszawa,Wola,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1F,[O] biol-chem-mat (ang-niem*),"biologia, chemia, matematyka",,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,ul. Rogalińska,2,01-206,Wola,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,III Liceum Ogólnokształcące im. gen. Józefa Sowińskiego,Warszawa,Wola,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1A,[O] fiz-ang-mat (ang-niem*),"fizyka, język angielski, matematyka",,IV Liceum Ogólnokształcące im. Adama Mickiewicza,ul. Saska,59,03-914,Praga-Południe,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,IV Liceum Ogólnokształcące im. Adama Mickiewicza,Warszawa,Praga Południe,Warszawa,32,32,1,4,200.00000,nie,ogólnodostępny
1B,[O] geogr-ang-wos (ang-fra),"geografia, język angielski, wiedza o społeczeństwie",,IV Liceum Ogólnokształcące im. Adama Mickiewicza,ul. Saska,59,03-914,Praga-Południe,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,IV Liceum Ogólnokształcące im. Adama Mickiewicza,Warszawa,Praga Południe,Warszawa,32,32,1,4,200.00000,nie,ogólnodostępny
1C,[O] inf-ang-mat (ang-niem*),"informatyka, język angielski, matematyka",,IV Liceum Ogólnokształcące im. Adama Mickiewicza,ul. Saska,59,03-914,Praga-Południe,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,IV Liceum Ogólnokształcące im. Adama Mickiewicza,Warszawa,Praga Południe,Warszawa,32,32,1,4,200.00000,nie,ogólnodostępny
1E,[O] biol-chem-mat (ang-ros),"biologia, chemia, matematyka",,IV Liceum Ogólnokształcące im. Adama Mickiewicza,ul. Saska,59,03-914,Praga-Południe,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,IV Liceum Ogólnokształcące im. Adama Mickiewicza,Warszawa,Praga Południe,Warszawa,32,32,1,4,200.00000,nie,ogólnodostępny
1S,[O] geogr-ang-mat (ang-niem*),"geografia, język angielski, matematyka",,IV Liceum Ogólnokształcące im. Adama Mickiewicza,ul. Saska,59,03-914,Praga-Południe,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,IV Liceum Ogólnokształcące im. Adama Mickiewicza,Warszawa,Praga Południe,Warszawa,32,32,1,4,200.00000,nie,ogólnodostępny
1A_niem_kont,[O] geogr-pol-wos (ang-niem),"geografia, język polski, wiedza o społeczeństwie",,V Liceum Ogólnokształcące im. Księcia Józefa Poniatowskiego,ul. Nowolipie,8,00-150,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,V Liceum Ogólnokształcące im. ks. Józefa Poniatowskiego,Warszawa,Śródmieście,Warszawa,15,31,0.483870968,4,200.00000,nie,ogólnodostępny
1A_franc_podst,[O] geogr-pol-wos (ang-fra),"geografia, język polski, wiedza o społeczeństwie",,V Liceum Ogólnokształcące im. Księcia Józefa Poniatowskiego,ul. Nowolipie,8,00-150,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,V Liceum Ogólnokształcące im. ks. Józefa Poniatowskiego,Warszawa,Śródmieście,Warszawa,16,31,0.516129032,4,200.00000,nie,ogólnodostępny
1B_niem_kont,[O] fiz-mat (ang-niem),"fizyka, matematyka",,V Liceum Ogólnokształcące im. Księcia Józefa Poniatowskiego,ul. Nowolipie,8,00-150,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,V Liceum Ogólnokształcące im. ks. Józefa Poniatowskiego,Warszawa,Śródmieście,Warszawa,15,31,0.483870968,4,200.00000,nie,ogólnodostępny
1B_franc_podst,[O] fiz-mat (ang-fra),"fizyka, matematyka",,V Liceum Ogólnokształcące im. Księcia Józefa Poniatowskiego,ul. Nowolipie,8,00-150,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,V Liceum Ogólnokształcące im. ks. Józefa Poniatowskiego,Warszawa,Śródmieście,Warszawa,16,31,0.516129032,4,200.00000,nie,ogólnodostępny
1C_niem_kont,[O] chem-fiz-mat (ang-niem),"chemia, fizyka, matematyka",,V Liceum Ogólnokształcące im. Księcia Józefa Poniatowskiego,ul. Nowolipie,8,00-150,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,V Liceum Ogólnokształcące im. ks. Józefa Poniatowskiego,Warszawa,Śródmieście,Warszawa,16,31,0.516129032,4,200.00000,nie,ogólnodostępny
1C_ros_podst,[O] chem-fiz-mat (ang-ros),"chemia, fizyka, matematyka",,V Liceum Ogólnokształcące im. Księcia Józefa Poniatowskiego,ul. Nowolipie,8,00-150,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,V Liceum Ogólnokształcące im. ks. Józefa Poniatowskiego,Warszawa,Śródmieście,Warszawa,15,31,0.483870968,4,200.00000,nie,ogólnodostępny
1D_niem_kont,[O] biol-chem-mat (ang-niem),"biologia, chemia, matematyka",,V Liceum Ogólnokształcące im. Księcia Józefa Poniatowskiego,ul. Nowolipie,8,00-150,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,V Liceum Ogólnokształcące im. ks. Józefa Poniatowskiego,Warszawa,Śródmieście,Warszawa,15,31,0.483870968,4,200.00000,nie,ogólnodostępny
1D_niem_podst,[O] biol-chem-mat (ang-niem),"biologia, chemia, matematyka",,V Liceum Ogólnokształcące im. Księcia Józefa Poniatowskiego,ul. Nowolipie,8,00-150,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,V Liceum Ogólnokształcące im. ks. Józefa Poniatowskiego,Warszawa,Śródmieście,Warszawa,16,31,0.516129032,4,200.00000,nie,ogólnodostępny
1E_niem_kont,[O] geogr-mat (ang-niem),"geografia, matematyka",,V Liceum Ogólnokształcące im. Księcia Józefa Poniatowskiego,ul. Nowolipie,8,00-150,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,V Liceum Ogólnokształcące im. ks. Józefa Poniatowskiego,Warszawa,Śródmieście,Warszawa,15,31,0.483870968,4,200.00000,nie,ogólnodostępny
1E_franc_podst,[O] geogr-mat (ang-fra),"geografia, matematyka",,V Liceum Ogólnokształcące im. Księcia Józefa Poniatowskiego,ul. Nowolipie,8,00-150,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,V Liceum Ogólnokształcące im. ks. Józefa Poniatowskiego,Warszawa,Śródmieście,Warszawa,16,31,0.516129032,4,200.00000,nie,ogólnodostępny
1A,[O] hist-pol-wos (ang-fra*),"historia, język polski, wiedza o społeczeństwie",,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,ul. Wawelska,46,02-067,Ochota,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,Warszawa,Ochota,Warszawa,31,31,1,4,200.00000,nie,ogólnodostępny
1B,[O] geogr-niem-mat (ang-niem*),"geografia, język niemiecki, matematyka",,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,ul. Wawelska,46,02-067,Ochota,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,Warszawa,Ochota,Warszawa,31,31,1,4,200.00000,nie,ogólnodostępny
1C,[O] fiz-inf-mat (ang-niem*),"fizyka, informatyka, matematyka",,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,ul. Wawelska,46,02-067,Ochota,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,Warszawa,Ochota,Warszawa,31,31,1,4,200.00000,nie,ogólnodostępny
1D,[O] hist-pol-wos (ang-fra*),"historia, język polski, wiedza o społeczeństwie",,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,ul. Wawelska,46,02-067,Ochota,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,Warszawa,Ochota,Warszawa,31,31,1,4,200.00000,nie,ogólnodostępny
1E,[O] biol-chem-mat (ang-niem*),"biologia, chemia, matematyka",,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,ul. Wawelska,46,02-067,Ochota,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,VII Liceum Ogólnokształcące im. Juliusza Słowackiego,Warszawa,Ochota,Warszawa,31,31,1,4,200.00000,nie,ogólnodostępny
1A-(fr),[O] pol-hist-wos (ang-fra),"język polski, historia, wiedza o społeczeństwie",,X Liceum Ogólnokształcące im. Królowej Jadwigi,ul. Jana Pawła Woronicza,8,02-625,Mokotów,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,X Liceum Ogólnokształcące im. Królowej Jadwigi,Warszawa,Mokotów,Warszawa,16,32,0.5,4,200.00000,nie,ogólnodostępny
1A-(hisz),[O] pol-hist-wos (ang-hisz),"język polski, historia, wiedza o społeczeństwie",,X Liceum Ogólnokształcące im. Królowej Jadwigi,ul. Jana Pawła Woronicza,8,02-625,Mokotów,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,X Liceum Ogólnokształcące im. Królowej Jadwigi,Warszawa,Mokotów,Warszawa,16,32,0.5,4,200.00000,nie,ogólnodostępny
1B-(niem),[O] mat-fiz-inf (ang-niem),"matematyka, fizyka, informatyka",,X Liceum Ogólnokształcące im. Królowej Jadwigi,ul. Jana Pawła Woronicza,8,02-625,Mokotów,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,X Liceum Ogólnokształcące im. Królowej Jadwigi,Warszawa,Mokotów,Warszawa,16,32,0.5,4,200.00000,nie,ogólnodostępny
1B-(hisz),[O] mat-fiz-inf (ang-hisz),"matematyka, fizyka, informatyka",,X Liceum Ogólnokształcące im. Królowej Jadwigi,ul. Jana Pawła Woronicza,8,02-625,Mokotów,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,X Liceum Ogólnokształcące im. Królowej Jadwigi,Warszawa,Mokotów,Warszawa,16,32,0.5,4,200.00000,nie,ogólnodostępny
1C-(niem),[O] geogr-ang-mat (ang-niem),"geografia, język angielski, matematyka",,X Liceum Ogólnokształcące im. Królowej Jadwigi,ul. Jana Pawła Woronicza,8,02-625,Mokotów,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,X Liceum Ogólnokształcące im. Królowej Jadwigi,Warszawa,Mokotów,Warszawa,16,32,0.5,4,200.00000,nie,ogólnodostępny
1C-(ros),[O] geogr-ang-mat (ang-ros),"geografia, język angielski, matematyka",,X Liceum Ogólnokształcące im. Królowej Jadwigi,ul. Jana Pawła Woronicza,8,02-625,Mokotów,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,X Liceum Ogólnokształcące im. Królowej Jadwigi,Warszawa,Mokotów,Warszawa,16,32,0.5,4,200.00000,nie,ogólnodostępny
1D-(fr),[O] biol-chem-ang (ang-fra),"biologia, chemia, język angielski",,X Liceum Ogólnokształcące im. Królowej Jadwigi,ul. Jana Pawła Woronicza,8,02-625,Mokotów,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,X Liceum Ogólnokształcące im. Królowej Jadwigi,Warszawa,Mokotów,Warszawa,16,32,0.5,4,200.00000,nie,ogólnodostępny
1D-(ros),[O] biol-chem-ang (ang-ros),"biologia, chemia, język angielski",,X Liceum Ogólnokształcące im. Królowej Jadwigi,ul. Jana Pawła Woronicza,8,02-625,Mokotów,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,X Liceum Ogólnokształcące im. Królowej Jadwigi,Warszawa,Mokotów,Warszawa,16,32,0.5,4,200.00000,nie,ogólnodostępny
1E-(niem),[O] niem-mat-wos (ang-niem),"język niemiecki, matematyka, wiedza o społeczeństwie",,X Liceum Ogólnokształcące im. Królowej Jadwigi,ul. Jana Pawła Woronicza,8,02-625,Mokotów,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,X Liceum Ogólnokształcące im. Królowej Jadwigi,Warszawa,Mokotów,Warszawa,16,32,0.5,4,200.00000,nie,ogólnodostępny
1E-(hisz),[O] hiszp-mat-wos (ang-hisz),"język hiszpański, matematyka, wiedza o społeczeństwie",,X Liceum Ogólnokształcące im. Królowej Jadwigi,ul. Jana Pawła Woronicza,8,02-625,Mokotów,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,X Liceum Ogólnokształcące im. Królowej Jadwigi,Warszawa,Mokotów,Warszawa,16,32,0.5,4,200.00000,nie,ogólnodostępny
1A-fra,[O] fiz-ang-mat (ang-fra),"fizyka, język angielski, matematyka",,XI Liceum Ogólnokształcące im. Mikołaja Reja,Plac Stanisława Małachowskiego,1,00-063,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XI Liceum Ogólnokształcące im. Mikołaja Reja,Warszawa,Śródmieście,Warszawa,8,31,0.258064516,4,200.00000,nie,ogólnodostępny
1A-hiszp,[O] fiz-ang-mat (ang-hisz),"fizyka, język angielski, matematyka",,XI Liceum Ogólnokształcące im. Mikołaja Reja,Plac Stanisława Małachowskiego,1,00-063,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XI Liceum Ogólnokształcące im. Mikołaja Reja,Warszawa,Śródmieście,Warszawa,8,31,0.258064516,4,200.00000,nie,ogólnodostępny
1A-niem,[O] fiz-ang-mat (ang-niem*),"fizyka, język angielski, matematyka",,XI Liceum Ogólnokształcące im. Mikołaja Reja,Plac Stanisława Małachowskiego,1,00-063,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XI Liceum Ogólnokształcące im. Mikołaja Reja,Warszawa,Śródmieście,Warszawa,15,31,0.483870968,4,200.00000,nie,ogólnodostępny
1B-niem,[O] hist-antyk-pol (ang-niem*),"historia, język łaciński i kultura antyczna, język polski",,XI Liceum Ogólnokształcące im. Mikołaja Reja,Plac Stanisława Małachowskiego,1,00-063,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XI Liceum Ogólnokształcące im. Mikołaja Reja,Warszawa,Śródmieście,Warszawa,15,31,0.483870968,4,200.00000,nie,ogólnodostępny
1B-fra,[O] hist-antyk-pol (ang-fra),"historia, język łaciński i kultura antyczna, język polski",,XI Liceum Ogólnokształcące im. Mikołaja Reja,Plac Stanisława Małachowskiego,1,00-063,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XI Liceum Ogólnokształcące im. Mikołaja Reja,Warszawa,Śródmieście,Warszawa,8,31,0.258064516,4,200.00000,nie,ogólnodostępny
1B-hisz,[O] hist-antyk-pol (ang-hisz),"historia, język łaciński i kultura antyczna, język polski",,XI Liceum Ogólnokształcące im. Mikołaja Reja,Plac Stanisława Małachowskiego,1,00-063,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XI Liceum Ogólnokształcące im. Mikołaja Reja,Warszawa,Śródmieście,Warszawa,8,31,0.258064516,4,200.00000,nie,ogólnodostępny
1C-niem,[O] hist-ang-wos (ang-niem*),"historia, język angielski, wiedza o społeczeństwie",,XI Liceum Ogólnokształcące im. Mikołaja Reja,Plac Stanisława Małachowskiego,1,00-063,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XI Liceum Ogólnokształcące im. Mikołaja Reja,Warszawa,Śródmieście,Warszawa,15,31,0.483870968,4,200.00000,nie,ogólnodostępny
1C-fra,[O] hist-ang-wos (ang-fra),"historia, język angielski, wiedza o społeczeństwie",,XI Liceum Ogólnokształcące im. Mikołaja Reja,Plac Stanisława Małachowskiego,1,00-063,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XI Liceum Ogólnokształcące im. Mikołaja Reja,Warszawa,Śródmieście,Warszawa,8,31,0.258064516,4,200.00000,nie,ogólnodostępny
1C-hiszp,[O] hist-ang-wos (ang-hisz),"historia, język angielski, wiedza o społeczeństwie",,XI Liceum Ogólnokształcące im. Mikołaja Reja,Plac Stanisława Małachowskiego,1,00-063,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XI Liceum Ogólnokształcące im. Mikołaja Reja,Warszawa,Śródmieście,Warszawa,8,31,0.258064516,4,200.00000,nie,ogólnodostępny
1D-niem,[O] biol-chem-mat (ang-niem*),"biologia, chemia, matematyka",,XI Liceum Ogólnokształcące im. Mikołaja Reja,Plac Stanisława Małachowskiego,1,00-063,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XI Liceum Ogólnokształcące im. Mikołaja Reja,Warszawa,Śródmieście,Warszawa,15,31,0.483870968,4,200.00000,nie,ogólnodostępny
1D-hiszp,[O] biol-chem-mat (ang-hisz),"biologia, chemia, matematyka",,XI Liceum Ogólnokształcące im. Mikołaja Reja,Plac Stanisława Małachowskiego,1,00-063,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XI Liceum Ogólnokształcące im. Mikołaja Reja,Warszawa,Śródmieście,Warszawa,8,31,0.258064516,4,200.00000,nie,ogólnodostępny
1D-fra,[O] biol-chem-mat (ang-fra),"biologia, chemia, matematyka",,XI Liceum Ogólnokształcące im. Mikołaja Reja,Plac Stanisława Małachowskiego,1,00-063,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XI Liceum Ogólnokształcące im. Mikołaja Reja,Warszawa,Śródmieście,Warszawa,8,31,0.258064516,4,200.00000,nie,ogólnodostępny
1E-niem,[O] geogr-ang-mat (ang-niem*),"geografia, język angielski, matematyka",,XI Liceum Ogólnokształcące im. Mikołaja Reja,Plac Stanisława Małachowskiego,1,00-063,Śródmieście,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XI Liceum Ogólnokształcące im. Mikołaja Reja,Warszawa,Śródmieście,Warszawa,31,31,1,4,200.00000,nie,ogólnodostępny
1a,"[O] fiz-inf-mat (ang-niem,ros)","fizyka, informatyka, matematyka",,XII Liceum Ogólnokształcące im. Henryka Sienkiewicza,ul. Sienna,53,00-820,Wola,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XII Liceum Ogólnokształcące im. Henryka Sienkiewicza,Warszawa,Wola,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1b,"[O] geogr-ang-mat (ang-hisz,wlo)","geografia, język angielski, matematyka",,XII Liceum Ogólnokształcące im. Henryka Sienkiewicza,ul. Sienna,53,00-820,Wola,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XII Liceum Ogólnokształcące im. Henryka Sienkiewicza,Warszawa,Wola,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1c,"[O] biol-chem-mat (ang-fra,ros)","biologia, chemia, matematyka",,XII Liceum Ogólnokształcące im. Henryka Sienkiewicza,ul. Sienna,53,00-820,Wola,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XII Liceum Ogólnokształcące im. Henryka Sienkiewicza,Warszawa,Wola,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1d,"[O] hist-pol-wos (ang-fra,niem)","historia, język polski, wiedza o społeczeństwie",,XII Liceum Ogólnokształcące im. Henryka Sienkiewicza,ul. Sienna,53,00-820,Wola,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XII Liceum Ogólnokształcące im. Henryka Sienkiewicza,Warszawa,Wola,Warszawa,30,30,1,4,200.00000,nie,ogólnodostępny
1A,"[O] hist-ang-pol (ang-fra,hisz)","historia, język angielski, język polski",,XIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. płk. Leopolda Lisa-Kuli,ul. Oszmiańska,23/25,03-503,Targówek,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XIII Liceum Ogólnokształcące z Odd. Dwujęzycznymi im. płk. Leopolda Lisa-Kuli,Warszawa,Targówek,Warszawa,32,32,1,4,200.00000,nie,ogólnodostępny
1B,"[O] fiz-ang-mat (ang-hisz,niem)","fizyka, język angielski, matematyka",,XIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. płk. Leopolda Lisa-Kuli,ul. Oszmiańska,23/25,03-503,Targówek,Warszawa,Warszawa (m),Warszawa,LO,szkoła publiczna,XIII Liceum Ogólnokształcące z Odd. Dwujęzycznymi im. płk. Leopolda Lisa-Kuli,Warszawa,Targówek,Warszawa,32,32,1,4,200.00000,nie,ogólnodostępny
