Nr systemowy oddziału;Symbol oddziału;Nazwa krótka oddziału;Przedmioty rozszerzone;Zawód;Symbol klasyfikacyjny zawodu;Nr systemowy szkoły;REGON szkoły;Nazwa szkoły;Ulica szkoły;Nr budynku szkoły;Kod pocztowy szkoły;Dzielnica;Miejscowość szkoły;Kod SIMC miejscowości szkoły;Gmina szkoły;Kod TERC gminy szkoły;Powiat szkoły;Kod TERC powiatu szkoły;Województwo szkoły;Kod TERC województwa szkoły;Typ szkoły (LO/LP/TECH/BR1St/LU/TU/PS);Uprawnienia publiczne;Nr systemowy Punktu Naboru;Nazwa Punktu Naboru;Miejscowość Punktu Naboru;Nr systemowy organu prowadzącego;Nazwa organu prowadzącego;Miejscowość organu prowadzącego;Liczba miejsc w oddziale;Liczebność podstawowa oddziału;Krotność oddziału (l. miejsc/liczebność podst.);Cykl kształcenia;Maksimum punktowe;Ze sprawdzianem uzdolnień (tak/nie);Typ szczególny;Liczba chętnych ogółem;Liczba chętnych z orzeczeniem o potrzebie kształcenia specjalnego;Liczba chętnych ogółem z pozytywnie rozpatrzonymi wnioskami;Liczba chętnych ogółem z negatywnie rozpatrzonymi wnioskami;Liczba chętnych ogółem z nierozpatrzonymi wnioskami;Liczba chętnych ogółem z pozytywnie rozpatrzonymi osiągnięciami;Liczba chętnych ogółem z negatywnie rozpatrzonymi osiągnięciami;Liczba chętnych ogółem z nierozpatrzonymi osiągnięciami;Liczba chętnych z I preferencji łącznie;Liczba chętnych z I preferencji z pozytywnie rozpatrzonymi wnioskami;Liczba chętnych z I preferencji z negatywnie rozpatrzonymi wnioskami;Liczba chętnych z I preferencji z nierozpatrzonymi wnioskami;Liczba chętnych z I preferencji z pozytywnie rozpatrzonymi osiągnięciami;Liczba chętnych z I preferencji z negatywnie rozpatrzonymi osiągnięciami;Liczba chętnych z I preferencji z nierozpatrzonymi osiągnięciami;Liczba zarezerwowanych miejsc;Liczba rezerwacji potwierdzonych;Liczba rezerwacji niepotwierdzonych;Liczba potencjalnych kandydatów niezakwalifikowanych do tego oddziału;Liczba kandydatów zakwalifikowanych;Liczba kandydatów przyjętych
121;1G;[O] Technik żywienia i usług gastronomicznych (ang-niem);;Technik żywienia i usług gastronomicznych;343404;184;142031370;Technikum Zawodowe w Radzyminie;Al. Jana Pawła II;18;05-250;brak;Radzymin;921591;Radzymin (M-w);1434094;wołomiński;1434;MAZOWIECKIE;14;TECH;szkoła publiczna;128;Zespół Szkół Techniczno-Zawodowych im. inż. Czesława Nowaka w Radzyminie;Radzymin;20;Powiat Wołomiński;Wołomin;30;30;1;5;200.00000;nie;ogólnodostępny;100;2;98;2;0;98;2;0;30;29;1;0;29;1;0;1;1;0;16;29;30
130;1T;[O] Technik architektury krajobrazu (ang-niem);;Technik architektury krajobrazu;314202;184;142031370;Technikum Zawodowe w Radzyminie;Al. Jana Pawła II;18;05-250;brak;Radzymin;921591;Radzymin (M-w);1434094;wołomiński;1434;MAZOWIECKIE;14;TECH;szkoła publiczna;128;Zespół Szkół Techniczno-Zawodowych im. inż. Czesława Nowaka w Radzyminie;Radzymin;20;Powiat Wołomiński;Wołomin;25;25;1;5;200.00000;nie;ogólnodostępny;103;2;103;0;0;102;1;0;23;23;0;0;22;1;0;2;2;0;11;23;25
135;1i;[O] Technik informatyk (ang-niem);;Technik informatyk;351203;184;142031370;Technikum Zawodowe w Radzyminie;Al. Jana Pawła II;18;05-250;brak;Radzymin;921591;Radzymin (M-w);1434094;wołomiński;1434;MAZOWIECKIE;14;TECH;szkoła publiczna;128;Zespół Szkół Techniczno-Zawodowych im. inż. Czesława Nowaka w Radzyminie;Radzymin;20;Powiat Wołomiński;Wołomin;30;30;1;5;200.00000;nie;ogólnodostępny;148;4;145;3;0;145;3;0;63;62;1;0;62;1;0;2;2;0;44;28;30
138;1K;[O] Technik usług kelnerskich (ang-niem);;Technik usług kelnerskich;513102;184;142031370;Technikum Zawodowe w Radzyminie;Al. Jana Pawła II;18;05-250;brak;Radzymin;921591;Radzymin (M-w);1434094;wołomiński;1434;MAZOWIECKIE;14;TECH;szkoła publiczna;128;Zespół Szkół Techniczno-Zawodowych im. inż. Czesława Nowaka w Radzyminie;Radzymin;20;Powiat Wołomiński;Wołomin;25;25;1;5;200.00000;nie;ogólnodostępny;70;0;68;2;0;68;2;0;20;18;2;0;18;2;0;2;2;0;10;23;25
3002;1A;[D] mat-geogr (ang-niem,fra,hisz);matematyka, geografia;;;113;142394606;CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana;ul. Olgierda;35/41;03-536;Targówek;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;93;CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana;Warszawa;10;Targówek;Warszawa;30;30;1;4;225.65000;tak;dwujęzyczny;183;2;182;1;0;182;1;0;25;25;0;0;25;0;0;2;2;0;0;23;30
3045;1B;[D] biol-chem (ang-hisz,fra,niem);biologia, chemia;;;113;142394606;CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana;ul. Olgierda;35/41;03-536;Targówek;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;93;CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana;Warszawa;10;Targówek;Warszawa;30;30;1;4;225.65000;tak;dwujęzyczny;135;1;134;1;0;133;2;0;34;34;0;0;34;0;0;2;2;0;0;22;28
3205;1C;[D] geogr-hist-wos (fra-ang);geografia, historia, wiedza o społeczeństwie;;;113;142394606;CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana;ul. Olgierda;35/41;03-536;Targówek;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;93;CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana;Warszawa;10;Targówek;Warszawa;5;5;1;4;205.20000;tak;dwujęzyczny;20;1;20;0;0;20;0;0;2;2;0;0;2;0;0;0;0;0;0;0;1
3243;1D/F;[O] mat-fiz (ang-niem,hisz);matematyka, fizyka;;;113;142394606;CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana;ul. Olgierda;35/41;03-536;Targówek;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;93;CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana;Warszawa;10;Targówek;Warszawa;30;30;1;4;200.00000;nie;ogólnodostępny;310;4;308;2;0;306;4;0;17;17;0;0;17;0;0;0;0;0;22;30;24
3253;1D/I;[O] mat-inf (ang-niem,hisz);matematyka, informatyka;;;113;142394606;CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana;ul. Olgierda;35/41;03-536;Targówek;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;93;CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana;Warszawa;10;Targówek;Warszawa;60;30;2;4;200.00000;nie;ogólnodostępny;380;2;378;2;0;376;4;0;40;40;0;0;40;0;0;0;0;0;33;60;58
3280;1E;[O] niem-ang-geogr (niem-ang);język niemiecki, język angielski, geografia;;;113;142394606;CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana;ul. Olgierda;35/41;03-536;Targówek;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;93;CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Roberta Schumana;Warszawa;10;Targówek;Warszawa;30;30;1;4;200.00000;nie;ogólnodostępny;242;3;239;3;0;237;5;0;27;27;0;0;27;0;0;0;0;0;28;30;29
