Nr systemowy oddziału;Symbol oddziału;Nazwa krótka oddziału;Przedmioty rozszerzone;Zawód;Symbol klasyfikacyjny zawodu;Nr systemowy szkoły;REGON szkoły;Nazwa szkoły;Ulica szkoły;Nr budynku szkoły;Kod pocztowy szkoły;Dzielnica;Miejscowość szkoły;Kod SIMC miejscowości szkoły;Gmina szkoły;Kod TERC gminy szkoły;Powiat szkoły;Kod TERC powiatu szkoły;Województwo szkoły;Kod TERC województwa szkoły;Typ szkoły (LO/LP/TECH/BR1St/LU/TU/PS);Uprawnienia publiczne;Nr systemowy Punktu Naboru;Nazwa Punktu Naboru;Miejscowość Punktu Naboru;Nr systemowy organu prowadzącego;Nazwa organu prowadzącego;Miejscowość organu prowadzącego;Liczba miejsc w oddziale;Liczebność podstawowa oddziału;Krotność oddziału (l. miejsc/liczebność podst.);Cykl kształcenia;Maksimum punktowe;Ze sprawdzianem uzdolnień (tak/nie);Typ szczególny;Liczba chętnych ogółem;Liczba chętnych z orzeczeniem o potrzebie kształcenia specjalnego;Liczba chętnych ogółem z pozytywnie rozpatrzonymi wnioskami;Liczba chętnych ogółem z negatywnie rozpatrzonymi wnioskami;Liczba chętnych ogółem z nierozpatrzonymi wnioskami;Liczba chętnych ogółem z pozytywnie rozpatrzonymi osiągnięciami;Liczba chętnych ogółem z negatywnie rozpatrzonymi osiągnięciami;Liczba chętnych ogółem z nierozpatrzonymi osiągnięciami;Liczba chętnych z I preferencji łącznie;Liczba chętnych z I preferencji z pozytywnie rozpatrzonymi wnioskami;Liczba chętnych z I preferencji z negatywnie rozpatrzonymi wnioskami;Liczba chętnych z I preferencji z nierozpatrzonymi wnioskami;Liczba chętnych z I preferencji z pozytywnie rozpatrzonymi osiągnięciami;Liczba chętnych z I preferencji z negatywnie rozpatrzonymi osiągnięciami;Liczba chętnych z I preferencji z nierozpatrzonymi osiągnięciami;Liczba zarezerwowanych miejsc;Liczba rezerwacji potwierdzonych;Liczba rezerwacji niepotwierdzonych;Liczba potencjalnych kandydatów niezakwalifikowanych do tego oddziału;Liczba kandydatów zakwalifikowanych;Liczba kandydatów przyjętych
5226;1LA;[O] pol-hist-ang (ang-niem);język polski, historia, język angielski;;;252;17368043;LXXXVII Liceum Ogólnokształcące im. gen. Leopolda Okulickiego;Saska;78;03-914;Praga-Południe;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;60;Zespół Szkół nr 21;Warszawa;6;Praga Południe;Warszawa;34;34;1;4;200.00000;nie;ogólnodostępny;186;4;185;1;0;183;3;0;15;15;0;0;15;0;0;0;0;0;0;29;26
5229;1LB;[O] geogr-wos-ang (ang-niem);geografia, wiedza o społeczeństwie, język angielski;;;252;17368043;LXXXVII Liceum Ogólnokształcące im. gen. Leopolda Okulickiego;Saska;78;03-914;Praga-Południe;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;60;Zespół Szkół nr 21;Warszawa;6;Praga Południe;Warszawa;60;30;2;4;200.00000;nie;ogólnodostępny;265;6;263;1;1;262;2;1;17;16;0;1;16;0;1;0;0;0;1;42;55
4439;1A;[O] pol-hist (ang-hisz,niem);język polski, historia;;;254;15850468;XXXII Liceum Ogólnokształcące im. Stefana Grota-Roweckiego;Stawki;10;00-178;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;110;Zespół Szkół Licealnych i Ekonomicznych nr 1;Warszawa;9;Śródmieście;Warszawa;30;30;1;4;200.00000;nie;ogólnodostępny;244;6;238;5;1;236;7;1;11;10;0;1;10;0;1;6;6;0;23;24;27
5943;1A;[O] pol (ang-niem*,hisz*);język polski;;;256;383012220;CLXIII Liceum Ogólnokształcące;Klimatyczna;1;05-077;Wesoła;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;179;CLXIII Liceum Ogólnokształcące;Warszawa;14;Wesoła;Warszawa;32;32;1;4;200.00000;nie;ogólnodostępny;198;9;194;2;2;192;4;2;50;48;0;2;47;1;2;1;1;0;43;31;31
5944;1B;[O] mat (ang-niem*,hisz*);matematyka;;;256;383012220;CLXIII Liceum Ogólnokształcące;Klimatyczna;1;05-077;Wesoła;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;179;CLXIII Liceum Ogólnokształcące;Warszawa;14;Wesoła;Warszawa;32;32;1;4;200.00000;nie;ogólnodostępny;185;4;182;3;0;183;2;0;21;21;0;0;21;0;0;0;0;0;12;32;27
5080;1a;[O] geogr-wos-ang (ang*-hisz*,niem*);geografia, wiedza o społeczeństwie, język angielski;;;257;15854957;"LXXIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zawiszaków Proporca ""Victoria""";Promienista;12a;02-428;Włochy;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;182;"Zespół Szkół nr 17 im. Zawiszaków Proporca ""Victoria""";Warszawa;16;Włochy;Warszawa;31;31;1;4;200.00000;nie;ogólnodostępny;146;4;141;2;3;141;2;3;7;4;0;3;4;0;3;2;1;1;3;27;30
5082;1b;[O] biol-chem-ang (ang*-hisz*,niem*);biologia, chemia, język angielski;;;257;15854957;"LXXIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zawiszaków Proporca ""Victoria""";Promienista;12a;02-428;Włochy;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;182;"Zespół Szkół nr 17 im. Zawiszaków Proporca ""Victoria""";Warszawa;16;Włochy;Warszawa;0;30;0;4;200.00000;nie;ogólnodostępny;70;4;67;3;0;67;3;0;1;1;0;0;1;0;0;0;0;0;7;0;0
5946;1b;[MS] geogr-ang (ang-niem);geografia, język angielski;;;268;383776608;CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego ;Chełmska;23;00-033;Mokotów;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;187;CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego;Warszawa;4;Mokotów;Warszawa;0;30;0;4;100.00000;tak;mistrzostwa sportowego;35;1;31;4;0;31;4;0;3;3;0;0;3;0;0;0;0;0;3;0;0
5949;1a;[MS] ang-geogr (ang-niem);język angielski, geografia;;;268;383776608;CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego ;Chełmska;23;00-033;Mokotów;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;187;CLXIV Liceum Ogólnokształcące Mistrzostwa Sportowego;Warszawa;4;Mokotów;Warszawa;33;33;1;4;100.00000;tak;mistrzostwa sportowego;50;1;47;3;0;45;5;0;22;19;3;0;17;5;0;0;0;0;0;18;25
4817;1A;[O] Sprzedawca (ang);;Sprzedawca;522301;281;190213;Branżowa Szkoła I stopnia Nr 18;Stefana Żeromskiego;22;01-835;Bielany;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;BR1St;szkoła publiczna;70;Zespół Szkół nr 35 im. Zofii Jaroszewicz Kasi;Warszawa;3;Bielany;Warszawa;0;28;0;3;200.00000;nie;ogólnodostępny;59;7;57;2;0;55;4;0;8;7;1;0;7;1;0;1;0;1;14;0;0
2416;1A_policyjna;[O] ang (ang-fra,niem,ros);język angielski;;;194;189569;Liceum Ogólnokształcące w Komornicy;Nasielska;7;05-140;brak;Komornica;8510;Wieliszew (w);1408052;legionowski;1408;MAZOWIECKIE;14;LO;szkoła publiczna;139;Zespół Szkół w Wieliszewie;Komornica;23;Gmina Wieliszew;Wieliszew;30;30;1;4;200.00000;nie;ogólnodostępny;86;1;79;7;0;79;7;0;29;24;5;0;24;5;0;0;0;0;1;30;28
2419;1B_wojskowa;[O] ang (ang-fra,niem,ros);język angielski;;;194;189569;Liceum Ogólnokształcące w Komornicy;Nasielska;7;05-140;brak;Komornica;8510;Wieliszew (w);1408052;legionowski;1408;MAZOWIECKIE;14;LO;szkoła publiczna;139;Zespół Szkół w Wieliszewie;Komornica;23;Gmina Wieliszew;Wieliszew;30;30;1;4;200.00000;nie;ogólnodostępny;120;2;116;4;0;116;4;0;38;37;1;0;37;1;0;0;0;0;15;30;27
2421;1C_pożarnicza;[O] ang (ang-fra,niem);język angielski;;;194;189569;Liceum Ogólnokształcące w Komornicy;Nasielska;7;05-140;brak;Komornica;8510;Wieliszew (w);1408052;legionowski;1408;MAZOWIECKIE;14;LO;szkoła publiczna;139;Zespół Szkół w Wieliszewie;Komornica;23;Gmina Wieliszew;Wieliszew;30;30;1;4;200.00000;nie;ogólnodostępny;46;0;43;3;0;43;3;0;6;6;0;0;6;0;0;0;0;0;0;11;10
2423;1D_prawnicza;[O] ang (ang-fra,niem);język angielski;;;194;189569;Liceum Ogólnokształcące w Komornicy;Nasielska;7;05-140;brak;Komornica;8510;Wieliszew (w);1408052;legionowski;1408;MAZOWIECKIE;14;LO;szkoła publiczna;139;Zespół Szkół w Wieliszewie;Komornica;23;Gmina Wieliszew;Wieliszew;30;30;1;4;200.00000;nie;ogólnodostępny;53;2;52;1;0;52;1;0;3;3;0;0;3;0;0;0;0;0;0;5;4
929;1A;[O] mat-fiz (ang-hisz*,fra*,niem*,ros*);matematyka, fizyka;;;218;242186;Liceum Ogólnokształcące im. Stefana Żeromskiego w Żyrardowie;Janiny Jadwigi Kacperskiej;6a;96-300;brak;Żyrardów;977210;Żyrardów (m);1438011;żyrardowski;1438;MAZOWIECKIE;14;LO;szkoła publiczna;153;Liceum Ogólnokształcące im. Stefana Żeromskiego w Żyrardowie;Żyrardów;27;Miasto Żyrardów;Żyrardów;32;32;1;4;200.00000;nie;ogólnodostępny;98;0;98;0;0;97;1;0;45;45;0;0;45;0;0;0;0;0;24;32;30
931;1B;[O] mat-geogr (ang-niem*,ros*,fra*,hisz*);matematyka, geografia;;;218;242186;Liceum Ogólnokształcące im. Stefana Żeromskiego w Żyrardowie;Janiny Jadwigi Kacperskiej;6a;96-300;brak;Żyrardów;977210;Żyrardów (m);1438011;żyrardowski;1438;MAZOWIECKIE;14;LO;szkoła publiczna;153;Liceum Ogólnokształcące im. Stefana Żeromskiego w Żyrardowie;Żyrardów;27;Miasto Żyrardów;Żyrardów;32;32;1;4;200.00000;nie;ogólnodostępny;130;1;130;0;0;127;3;0;66;66;0;0;63;3;0;0;0;0;49;32;31
932;1C;[O] biol-chem-mat (ang-fra*,niem*,ros*,hisz*);biologia, chemia, matematyka;;;218;242186;Liceum Ogólnokształcące im. Stefana Żeromskiego w Żyrardowie;Janiny Jadwigi Kacperskiej;6a;96-300;brak;Żyrardów;977210;Żyrardów (m);1438011;żyrardowski;1438;MAZOWIECKIE;14;LO;szkoła publiczna;153;Liceum Ogólnokształcące im. Stefana Żeromskiego w Żyrardowie;Żyrardów;27;Miasto Żyrardów;Żyrardów;32;32;1;4;200.00000;nie;ogólnodostępny;112;0;112;0;0;110;2;0;44;44;0;0;44;0;0;0;0;0;34;32;26
935;1D;[O] pol-hist (ang-fra*,niem*,ros*,hisz*);język polski, historia;;;218;242186;Liceum Ogólnokształcące im. Stefana Żeromskiego w Żyrardowie;Janiny Jadwigi Kacperskiej;6a;96-300;brak;Żyrardów;977210;Żyrardów (m);1438011;żyrardowski;1438;MAZOWIECKIE;14;LO;szkoła publiczna;153;Liceum Ogólnokształcące im. Stefana Żeromskiego w Żyrardowie;Żyrardów;27;Miasto Żyrardów;Żyrardów;32;32;1;4;200.00000;nie;ogólnodostępny;118;0;118;0;0;117;1;0;46;46;0;0;46;0;0;0;0;0;46;32;30
5938;1E;[O] pol (ang-fra*,hisz*,niem*,ros*);język polski;;;218;242186;Liceum Ogólnokształcące im. Stefana Żeromskiego w Żyrardowie;Janiny Jadwigi Kacperskiej;6a;96-300;brak;Żyrardów;977210;Żyrardów (m);1438011;żyrardowski;1438;MAZOWIECKIE;14;LO;szkoła publiczna;153;Liceum Ogólnokształcące im. Stefana Żeromskiego w Żyrardowie;Żyrardów;27;Miasto Żyrardów;Żyrardów;32;32;1;4;200.00000;nie;ogólnodostępny;145;1;145;0;0;142;3;0;71;71;0;0;69;2;0;0;0;0;64;32;32
2514;1A;[D] mat-fiz (ang-niem,hisz,fra*,wlo,ros);matematyka, fizyka;;;105;798848;II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Batorego;ul. Myśliwiecka;6;00-459;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;85;II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Batorego;Warszawa;9;Śródmieście;Warszawa;31;31;1;4;225.65000;tak;dwujęzyczny;169;2;166;3;0;165;4;0;28;26;2;0;26;2;0;0;0;0;20;31;31
2519;1B;[O] biol-chem-mat (ang-niem,hisz,fra*,wlo,ros);biologia, chemia, matematyka;;;105;798848;II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Batorego;ul. Myśliwiecka;6;00-459;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;85;II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Batorego;Warszawa;9;Śródmieście;Warszawa;31;31;1;4;200.00000;nie;ogólnodostępny;465;3;454;11;0;451;14;0;55;53;2;0;52;3;0;1;1;0;113;30;27
2534;1C;[D] geogr-mat (ang-niem,hisz,fra*,wlo,ros);geografia, matematyka;;;105;798848;II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Batorego;ul. Myśliwiecka;6;00-459;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;85;II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Batorego;Warszawa;9;Śródmieście;Warszawa;31;31;1;4;225.65000;tak;dwujęzyczny;172;1;171;1;0;169;3;0;32;31;1;0;31;1;0;0;0;0;16;31;31
2539;1E;[D] pol-hist (ang-niem,hisz,fra*,wlo,ros);język polski, historia;;;105;798848;II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Batorego;ul. Myśliwiecka;6;00-459;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;85;II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Batorego;Warszawa;9;Śródmieście;Warszawa;31;31;1;4;225.65000;tak;dwujęzyczny;140;0;139;1;0;138;2;0;27;26;1;0;26;1;0;0;0;0;4;31;31
2549;1ib;[M] (ang-niem,fra);;;;105;798848;II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Batorego;ul. Myśliwiecka;6;00-459;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;85;II Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Batorego;Warszawa;9;Śródmieście;Warszawa;62;31;2;4;225.65000;tak;międzynarodowy;213;2;208;5;0;207;6;0;95;93;2;0;93;2;0;1;1;0;33;61;62
2874;1ab(biol-chem-mat);[O] biol-chem-mat (ang-niem*,hisz*,ros*,fra*);biologia, chemia, matematyka;;;119;798860;IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej;ul. Hoża;88;00-682;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;99;IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej;Warszawa;9;Śródmieście;Warszawa;128;32;4;4;200.00000;nie;ogólnodostępny;862;7;848;14;0;845;17;0;274;270;4;0;271;3;0;1;1;0;291;127;128
2884;1c(mat-fiz-inf);[O] mat-fiz-inf (ang-niem*,hisz*,ros*,fra*);matematyka, fizyka, informatyka;;;119;798860;IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej;ul. Hoża;88;00-682;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;99;IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej;Warszawa;9;Śródmieście;Warszawa;32;32;1;4;200.00000;nie;ogólnodostępny;722;12;713;9;0;711;11;0;101;100;1;0;100;1;0;0;0;0;257;32;32
2889;1d(mat-fiz-chem);[O] mat-fiz-chem (ang-niem*,hisz*,ros*,fra*);matematyka, fizyka, chemia;;;119;798860;IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej;ul. Hoża;88;00-682;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;99;IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej;Warszawa;9;Śródmieście;Warszawa;32;32;1;4;200.00000;nie;ogólnodostępny;402;2;396;6;0;397;5;0;61;61;0;0;61;0;0;0;0;0;123;32;32
2894;1e(hist-geo-mat);[O] hist-geogr-mat (ang-niem*,hisz*,ros*,fra*);historia, geografia, matematyka;;;119;798860;IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej;ul. Hoża;88;00-682;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;99;IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej;Warszawa;9;Śródmieście;Warszawa;32;32;1;4;200.00000;nie;ogólnodostępny;334;1;329;5;0;329;5;0;39;39;0;0;39;0;0;0;0;0;98;32;32
2895;1f(wos-geo-mat);[O] geogr-mat-wos (ang-niem*,hisz*,ros*,fra*);geografia, matematyka, wiedza o społeczeństwie;;;119;798860;IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej;ul. Hoża;88;00-682;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;99;IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej;Warszawa;9;Śródmieście;Warszawa;32;32;1;4;200.00000;nie;ogólnodostępny;476;2;472;4;0;473;3;0;76;75;1;0;76;0;0;0;0;0;157;32;32
2901;1u(matematyczna);[O] mat-fiz-ang (ang-niem*,hisz*,ros*,fra*);matematyka, fizyka, język angielski;;;119;798860;IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej;ul. Hoża;88;00-682;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;99;IX Liceum Ogólnokształcące im. Klementyny Hoffmanowej;Warszawa;9;Śródmieście;Warszawa;32;32;1;4;200.00000;nie;ogólnodostępny;553;4;548;5;0;550;3;0;81;78;3;0;80;1;0;0;0;0;178;32;32
2574;1A-ros;[O] mat-fiz-ang (ang-ros);matematyka, fizyka, język angielski;;;7;798877;XI Liceum Ogólnokształcące im. Mikołaja Reja;Plac Stanisława Małachowskiego;1;00-063;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;7;XI Liceum Ogólnokształcące im. Mikołaja Reja;Warszawa;9;Śródmieście;Warszawa;8;32;0.25;4;200.00000;nie;ogólnodostępny;250;3;247;3;0;247;3;0;8;8;0;0;8;0;0;0;0;0;46;8;8
2581;1A-hiszp;[O] mat-fiz-ang (ang-hisz);matematyka, fizyka, język angielski;;;7;798877;XI Liceum Ogólnokształcące im. Mikołaja Reja;Plac Stanisława Małachowskiego;1;00-063;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;7;XI Liceum Ogólnokształcące im. Mikołaja Reja;Warszawa;9;Śródmieście;Warszawa;8;32;0.25;4;200.00000;nie;ogólnodostępny;684;7;678;6;0;678;6;0;20;19;1;0;19;1;0;0;0;0;145;8;8
2594;1A-niem;[O] mat-fiz-ang (ang-niem*);matematyka, fizyka, język angielski;;;7;798877;XI Liceum Ogólnokształcące im. Mikołaja Reja;Plac Stanisława Małachowskiego;1;00-063;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;7;XI Liceum Ogólnokształcące im. Mikołaja Reja;Warszawa;9;Śródmieście;Warszawa;16;32;0.5;4;200.00000;nie;ogólnodostępny;639;6;635;4;0;636;3;0;15;15;0;0;15;0;0;0;0;0;132;15;16
2601;1B-niem;[O] pol-hist-antyk (ang-niem*);język polski, historia, język łaciński i kultura antyczna;;;7;798877;XI Liceum Ogólnokształcące im. Mikołaja Reja;Plac Stanisława Małachowskiego;1;00-063;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;7;XI Liceum Ogólnokształcące im. Mikołaja Reja;Warszawa;9;Śródmieście;Warszawa;16;32;0.5;4;200.00000;nie;ogólnodostępny;154;3;149;5;0;148;6;0;6;6;0;0;6;0;0;0;0;0;19;15;11
2604;1B-fra;[O] pol-hist-antyk (ang-fra);język polski, historia, język łaciński i kultura antyczna;;;7;798877;XI Liceum Ogólnokształcące im. Mikołaja Reja;Plac Stanisława Małachowskiego;1;00-063;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;7;XI Liceum Ogólnokształcące im. Mikołaja Reja;Warszawa;9;Śródmieście;Warszawa;8;32;0.25;4;200.00000;nie;ogólnodostępny;207;3;204;3;0;204;3;0;6;6;0;0;6;0;0;0;0;0;43;8;8
2609;1B-hisz;[O] pol-hist-antyk (ang-hisz);język polski, historia, język łaciński i kultura antyczna;;;7;798877;XI Liceum Ogólnokształcące im. Mikołaja Reja;Plac Stanisława Małachowskiego;1;00-063;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;7;XI Liceum Ogólnokształcące im. Mikołaja Reja;Warszawa;9;Śródmieście;Warszawa;8;32;0.25;4;200.00000;nie;ogólnodostępny;253;5;250;3;0;248;5;0;13;13;0;0;13;0;0;0;0;0;57;8;8
2612;1C-niem;[O] hist-wos-ang (ang-niem*);historia, wiedza o społeczeństwie, język angielski;;;7;798877;XI Liceum Ogólnokształcące im. Mikołaja Reja;Plac Stanisława Małachowskiego;1;00-063;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;7;XI Liceum Ogólnokształcące im. Mikołaja Reja;Warszawa;9;Śródmieście;Warszawa;16;32;0.5;4;200.00000;nie;ogólnodostępny;394;9;389;4;1;388;5;1;20;19;0;1;19;0;1;0;0;0;79;15;16
2617;1C-fra;[O] hist-wos-ang (ang-fra);historia, wiedza o społeczeństwie, język angielski;;;7;798877;XI Liceum Ogólnokształcące im. Mikołaja Reja;Plac Stanisława Małachowskiego;1;00-063;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;7;XI Liceum Ogólnokształcące im. Mikołaja Reja;Warszawa;9;Śródmieście;Warszawa;8;32;0.25;4;200.00000;nie;ogólnodostępny;333;4;328;5;0;327;6;0;12;12;0;0;12;0;0;0;0;0;78;8;8
2627;1C-hiszp;[O] hist-wos-ang (ang-hisz);historia, wiedza o społeczeństwie, język angielski;;;7;798877;XI Liceum Ogólnokształcące im. Mikołaja Reja;Plac Stanisława Małachowskiego;1;00-063;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;7;XI Liceum Ogólnokształcące im. Mikołaja Reja;Warszawa;9;Śródmieście;Warszawa;8;32;0.25;4;200.00000;nie;ogólnodostępny;594;7;590;4;0;589;5;0;39;38;1;0;38;1;0;0;0;0;154;8;8
2639;1D-niem;[O] biol-chem-mat (ang-niem*);biologia, chemia, matematyka;;;7;798877;XI Liceum Ogólnokształcące im. Mikołaja Reja;Plac Stanisława Małachowskiego;1;00-063;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;7;XI Liceum Ogólnokształcące im. Mikołaja Reja;Warszawa;9;Śródmieście;Warszawa;16;32;0.5;4;200.00000;nie;ogólnodostępny;600;4;593;7;0;593;7;0;19;18;1;0;18;1;0;0;0;0;119;15;16
2652;1D-hiszp;[O] biol-chem-mat (ang-hisz);biologia, chemia, matematyka;;;7;798877;XI Liceum Ogólnokształcące im. Mikołaja Reja;Plac Stanisława Małachowskiego;1;00-063;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;7;XI Liceum Ogólnokształcące im. Mikołaja Reja;Warszawa;9;Śródmieście;Warszawa;8;32;0.25;4;200.00000;nie;ogólnodostępny;717;5;713;4;0;712;5;0;28;28;0;0;28;0;0;1;1;0;181;7;7
2664;1D-ros;[O] biol-chem-mat (ang-ros);biologia, chemia, matematyka;;;7;798877;XI Liceum Ogólnokształcące im. Mikołaja Reja;Plac Stanisława Małachowskiego;1;00-063;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;7;XI Liceum Ogólnokształcące im. Mikołaja Reja;Warszawa;9;Śródmieście;Warszawa;8;32;0.25;4;200.00000;nie;ogólnodostępny;274;1;270;4;0;271;3;0;8;8;0;0;8;0;0;0;0;0;58;8;8
2672;1E-niem;[O] mat-geogr-ang (ang-niem*);matematyka, geografia, język angielski;;;7;798877;XI Liceum Ogólnokształcące im. Mikołaja Reja;Plac Stanisława Małachowskiego;1;00-063;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;7;XI Liceum Ogólnokształcące im. Mikołaja Reja;Warszawa;9;Śródmieście;Warszawa;32;32;1;4;200.00000;nie;ogólnodostępny;1041;4;1031;10;0;1032;9;0;68;68;0;0;68;0;0;0;0;0;261;32;31
3430;1B;[O] ang-mat-fiz (ang-fra);język angielski, matematyka, fizyka;;;106;798883;XV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Narcyzy Żmichowskiej;ul. Klonowa;16;00-591;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;86;XV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Narcyzy Żmichowskiej;Warszawa;9;Śródmieście;Warszawa;31;31;1;4;200.00000;nie;ogólnodostępny;366;3;362;2;2;361;3;2;15;12;1;2;12;1;2;0;0;0;33;31;28
3433;1D1;[D] h.szt.-pol-hist (fra-ang);historia sztuki, język polski, historia;;;106;798883;XV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Narcyzy Żmichowskiej;ul. Klonowa;16;00-591;Śródmieście;Warszawa;918123;Warszawa (m);1465011;Warszawa;1465;MAZOWIECKIE;14;LO;szkoła publiczna;86;XV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Narcyzy Żmichowskiej;Warszawa;9;Śródmieście;Warszawa;5;31;0.1612903226;4;205.20000;tak;dwujęzyczny;33;0;33;0;0;32;1;0;2;2;0;0;2;0;0;0;0;0;2;5;5
