dzielnica,Nazwa szkoły,ulica,nr,kod,miasto,numer ewidencyjny,Uwagi 
Ursynów,Liceum Ogólnokształcące Przymierza Rodzin im. Jana Pawła II,Grzegorzewskiej,10,02-778,Warszawa,56 LO,
Ursynów,International American School Liceum Ogólnokształcące Niepubliczne nr 72  I.A.S.,Dembego,18,02-796,Warszawa,76 LO,
Ursynów,Społeczne Liceum Ogólnoształcące nr 1 im. Jana Nowaka-Jeziorańskiego Społecznego Twarzystwa Oświatowego,Polinezyjska,10,02-777,Warszawa,287 LO,
Wawer,Liceum Ogólnokształcące Niepubliczne nr 76 im. Wisławy Szymborskiej,Rogatkowa,50,04-773,Warszawa,63 LO,
Wawer,Katolickie Liceum Ogólnokształcące im. św. Pawła z Tarsu,Poezji,19,04-994,Warszawa,222 LO,
Wawer,"""Żagle"" Liceum Ogólnokształcące Stowarzyszenia STERNIK",M. Pożaryskiego,28,04-703,Warszawa,229 LO,
Wawer,Wawerska Szkoła Realna,Małowiejska,31,04-962,Warszawa,306 LO,
Wesoła," Liceum Ogólnokształcące 'Niepubliczne Nr 27 ""Szkoła Rodzinna""",Kruszyny,14a,05-077,Warszawa,104 LO,
Wesoła,Dwujęzyczne Liceum nr 1,Wspólna,55,05-075,Warszawa,302 LO,
Wesoła,"I Społeczne Liceum Ogólnokształcące im. Emanuela Bułhaka w Warszawie-Wesołej
(II m. prow. ul. Armii Krajowej 9)",Trakt Brzeski,63,05-077,Warszawa,106 LO,
Wesoła,Prywatne Liceum Ogólnokształcące im. Zofii           i Jędrzeja Moraczewskich,al. marsz. J. Piłsudskiego,73,05-077,Warszawa,272 LO,
Wilanów,Międzynarodowe Europejskie Liceum Ogólnokształcące im. Jana Kułakowskiego w Warszawie - International European School*Warsaw,Wiertnicza,140,02-952,Warszawa,301 LO,
Włochy,Społeczne Liceum Ogólnokształcące Startowa 4K,Startowa,9,02-248,Warszawa,291 LO,
Włochy,Niepubliczne Liceum Eduventura,Na Skraju,32,02-197,Warszawa,307 LO,
Włochy,Międzynarodowe Liceum Ogólnokształcące MERIDIAN (szkoła z ddziałami dwujęzycznymi),Gładka,31,02-172,Warszawa,173 LO,
Wol0,Liceum Ogólnokształcące TE Vizja z Oddziałami Dwujęzycznymi,Okopowa,59,01-043,Warszawa,277 LO,
Włochy,Liceum Ogólnokształcące TE Vizja z Oddziałami Dwujęzycznymi,Patriotów,148,04-839,Warszawa,278 LO,
Wola,Liceum Akademia Dobrej Edukacji im. gen. Józefa Sowińskiego w Warszawie,Górczewska,13,01-189,Warszawa,298 LO,
Wola,Akademia-Liceum ogólnokształcące dla Młodzieży w Warszawie,Jana Kazimierza,45/5,01-248,Warszawa,273 LO,
Wola,I Społeczne Liceum Ogólnokształcące im. Jam Sacheba Digvijay Sinhji,"

Zawiszy


","13
","01-167
","Warszawa
",25 LO,
Wola,Katolickie Liceum Ogólnokształcące im. Ks. Jerzego Popiełuszki,Ogrodowa,3a,00-893,Warszawa,279 LO,
Wola,Społeczne Waldorfskie Liceum Ogólnokształcące Nr 1,Wolność,2a,01-018,Warszawa,280 LO,
Żoliborz,Prywatne Liceum Ogólnokształcące    Zgromadzenia Sióstr Zmartwychwstania Pańskiego  im.Matki Jadwigi Borzęckiej,Z. Krasińskiego,31,01-784,Warszawa,39 LO,
Żoliborz,Liceum Filmowe z Oddziałami Dwujęzycznymi przy Warszawskiej Szkole Filmowej,gen.  J. Zajączka,7,01-518,Warszawa,248 LO,
Żoliborz,Liceum Ogólnokształcące Kreacji Gier Wideo przy Warszawskiej Szkole Filmowej,gen.  J. Zajączka,7,01-518,Warszawa,268 LO,
